t,p_x,p_y,p_z,q_w,q_x,q_y,q_z,v_x,v_y,v_z,w_x,w_y,w_z,a_lin_x,a_lin_y,a_lin_z,a_rot_x,a_rot_y,a_rot_z,u_1,u_2,u_3,u_4,mu_0,nu_0,tau_0,mu_1,nu_1,tau_1,mu_2,nu_2,tau_2,mu_3,nu_3,tau_3,mu_4,nu_4,tau_4,mu_5,nu_5,tau_5,mu_6,nu_6,tau_6,mu_7,nu_7,tau_7,mu_8,nu_8,tau_8,mu_9,nu_9,tau_9,mu_10,nu_10,tau_10,mu_11,nu_11,tau_11,mu_12,nu_12,tau_12,mu_13,nu_13,tau_13,mu_14,nu_14,tau_14,mu_15,nu_15,tau_15,mu_16,nu_16,tau_16,mu_17,nu_17,tau_17,mu_18,nu_18,tau_18,mu_19,nu_19,tau_19
0,-5.0,4.5,1.2,1.0,4.6548346273824655e-28,-6.7041132578011675e-28,-2.049511701037649e-28,0.0,0.0,0.0,1.1754582716680513e-26,-7.590706741806968e-26,-1.3324892222839926e-26,0.05655494583368764,-0.21838285613821168,3.319434846744301,202.78117267394285,52.46903631207293,10.241117163212834,3.1269349176210346,2.2766932788657757,2.624893526015212,3.126937181221235,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0
0.0221914,-4.9999930564498225,4.499973104134698,1.2008180581074164,0.9996667074771949,0.02496634233752999,0.006444298920246261,0.001260788884963462,0.001255033685433137,-0.004846222319450911,0.07366292174544264,4.499999049169586,1.164361614057835,0.22726477458039648,0.38203607790563243,-1.4792212590703209,4.927064156464409,3.3961728780485196,-2.8729687193808777,-0.700090911942818,3.1538689537505684,3.153869682594045,3.1300678080159665,3.1538701701785454,0.9998280388063995,0.00017196119360052953,0.06465004385485423,0.9999514837646153,4.851623538464453e-05,0.056416219739703254,0.999963882075867,3.611792413303633e-05,0.045330763290465995,0.9999658030290068,3.419697099312811e-05,0.04499698261165245,0.9999677240008155,3.2275999184625676e-05,0.04499592916180427,0.9999696457392102,3.0354260789765604e-05,0.04499677895845322,0.999971569203827,2.843079617295406e-05,0.04490257278018045,0.9999734951285989,2.6504871401021208e-05,0.04498575486502878,0.9999754248271266,2.4575172873331482e-05,0.045000126616477884,0.9999773627914096,2.263720859046488e-05,0.04500233278652441,0.9999793187623577,2.0681237642277673e-05,0.044994004959430324,0.9999812853867652,1.871461323483736e-05,0.04499323618791134,0.9999832661917892,1.6733808210861846e-05,0.04499398506857097,0.9999852662971064,1.4733702893653645e-05,0.044901126766117676,0.9999872921481664,1.2707851833682368e-05,0.04498397188457972,0.9999893546924598,1.0645307540239454e-05,0.04499646672707847,0.9999914740506853,8.525949314621621e-06,0.04499742885170483,0.9999936854754545,6.314524545418829e-06,0.04499194186683849,0.9999960588838865,3.9411161133975225e-06,0.04499126407067941,0.9999988508970573,1.1491029427427693e-06,0.04499196492040877
0.0443828,-4.99988662344147,4.499562105179156,1.203672441554803,0.9969775971830017,0.07524128066227055,0.018996895322555135,0.003674301579715063,0.009732950864105878,-0.03767221978042344,0.18300139595842088,4.575364895616324,1.1006064027873304,0.21172877389289393,0.7563449140861003,-2.9865173745310787,4.811541788108005,3.396166263681292,-2.890172823785404,-0.6958890895322429,3.1808025492977148,3.18080324011924,3.15714357039191,3.1808031086144815,0.9996560198883492,0.00017201891805024693,0.06464565684816558,0.9999029675268872,4.8516237728033996e-05,0.05640200761284107,0.9999278472446629,3.603483120399349e-05,0.0452717670941573,0.9999316007634556,3.420226555116604e-05,0.04499698171900357,0.9999353543089703,3.236969184516912e-05,0.044995951445934386,0.999939109973712,3.0535765498139776e-05,0.044996825881929936,0.9999428703446034,2.8698859223564187e-05,0.04490261581959307,0.9999466373941325,2.6857734466493853e-05,0.04498579885735276,0.9999504144815466,2.501034557995912e-05,0.0450003107691766,0.9999542139330112,2.3148858398451945e-05,0.045002704551421385,0.9999580633149452,2.1255447412419263e-05,0.0449941045040739,0.9999619403296428,1.9345057122306504e-05,0.04499333802427518,0.9999658537293521,1.7412462437069088e-05,0.044994095273396185,0.9999698161032777,1.5450193828561267e-05,0.044901215542902,0.9999738428805081,1.344926765830384e-05,0.044984053905732305,0.999977960218034,1.1394474425711649e-05,0.04499659369871277,0.9999822169334573,9.257117228083623e-06,0.04499755807715884,0.9999866971792569,6.9882961975722836e-06,0.04499202026533312,0.9999915616061646,4.497277721918884e-06,0.04499132547067544,0.9999974025175299,1.4483795273662832e-06,0.04499199567873519
0.0665742,-4.999499190517183,4.498051975517012,1.20893153056427,0.9915164338009399,0.12614283245468677,0.030806422606469822,0.005837209193281528,0.026517306873844328,-0.10394723519976784,0.28977626655422545,4.6507305952809626,1.036469408275111,0.1962860175465846,1.1141796273709748,-4.509133163395659,4.525316278291299,3.396155046243848,-2.9100232383742117,-0.6919558475679136,3.2077359286108655,3.207736509634779,3.184210118499471,3.207736036292866,0.9994838627312942,0.0001721571570550344,0.06466042445801022,0.9998544507187803,4.851680810692753e-05,0.05639515704291247,0.9998918667303958,3.598051426716776e-05,0.045241393987213024,0.9998973901695839,3.4210593871682096e-05,0.044996977951186366,0.9999029136110007,3.244069796957595e-05,0.044995965888004016,0.9999084410566544,3.066891705766962e-05,0.044996858798801324,0.9999139772944622,2.889305014119513e-05,0.04490268953080495,0.9999195260680691,2.7111326063328598e-05,0.044985820492962784,0.9999250931549686,2.5321326578097705e-05,0.04500044647300831,0.9999307016353066,2.351229770449887e-05,0.04500298465944686,0.9999364034168022,2.165989814303938e-05,0.04499417224876073,0.9999421543802808,1.9785949362019975e-05,0.04499340824288191,0.9999479696804903,1.7884048861889964e-05,0.04499417189184457,0.9999538709794928,1.5945123784961794e-05,0.04490131992154622,0.9999598844239909,1.3958456517258918e-05,0.04498410066309253,0.9999660539234652,1.1906294568917263e-05,0.04499668336752994,0.9999724629829735,9.75395048391875e-06,0.04499764946052581,0.9999792534238643,7.443755392682797e-06,0.044992070869644914,0.9999866888935576,4.8727126071275696e-06,0.04499136542738895,0.9999957480659404,1.654451589495047e-06,0.04499201575143738
0.0887656,-4.9986502728258,4.494695940560617,1.2164966190802293,0.9831971554467077,0.17751834750947448,0.04184832219551864,0.007698592324779739,0.05124251778795291,-0.20401123364841126,0.39019939105329404,4.726096046014908,0.9718919051811659,0.1809305453641167,1.450142170893326,-6.028628375324412,4.062641112511235,3.3960821871822215,-2.9324935788446793,-0.6882835040927141,3.2346692114627476,3.2346697033039424,3.211267900988475,3.234669048286432,0.9993114568498755,0.0001724058814186152,0.06469452221022184,0.9998059323260167,4.851839276362772e-05,0.0563910987405137,0.9998559249216394,3.594180875630314e-05,0.04522073663236018,0.9998631655593697,3.422461021417314e-05,0.04499697037630308,0.9998704061136715,3.250749732917901e-05,0.04499597526817133,0.999877653085742,3.078797091246214e-05,0.044996885530224996,0.9998849140687107,2.9063225751545102e-05,0.04490282626077161,0.9998921952960613,2.7330772007870948e-05,0.044985825782774505,0.9998995050505571,2.5588104411435227e-05,0.04500056556791804,0.9999068801718306,2.3821463476061316e-05,0.04500323238876235,0.9999144021621107,2.200125469149217e-05,0.044994225147713306,0.999921998677063,2.015570321783181e-05,0.04499346407675034,0.999929692278738,1.827740175225619e-05,0.04499423435644201,0.999937515091634,1.6355887858806534e-05,0.04490148112874011,0.999945505619413,1.4378804577846647e-05,0.044984125821658054,0.9999537272701593,1.232665330580084e-05,0.0449967587833036,0.9999623034415065,1.0159541466928437e-05,0.04499772582477726,0.9999714400709706,7.813352893674797e-06,0.04499210777820508,0.9999815127606057,5.176132951944012e-06,0.04499139445027002,0.9999939265381993,1.8215277411114968e-06,0.04499202992857267
0.110957,-4.9971688218544745,4.488744166455264,1.2261834437828931,0.971939448450226,0.22920404504470207,0.052099738473020345,0.009208218855183904,0.08342320943763298,-0.3377949651409684,0.48035510374765616,4.8014598799039385,0.906815753670219,0.16565656764155706,1.766292956641375,-7.534582841760763,3.4452276400586843,-0.10555381929341097,0.5559952666517423,-0.00010176766747994408,3.261602222771809,3.2616029032220095,3.261599037208079,3.261601816858573,0.9991386625621062,0.00017279428776937445,0.06475129921358383,0.9997574109525165,4.852137350016871e-05,0.056388801674489716,0.9998200085231134,3.591639852606469e-05,0.045205024567207173,0.9998289191932757,3.424636609404024e-05,0.04499695791896295,0.9998378296218519,3.257649181963372e-05,0.04499597939565196,0.9998467494134484,3.0903672293603016e-05,0.044996907828401746,0.9998556896493872,2.9224419323472663e-05,0.044903055321999646,0.9998646600466214,2.7535249439865776e-05,0.04498581435878297,0.9998736711908869,2.583385967029389e-05,0.04500067739370779,0.9998827769948455,2.410317698517394e-05,0.04500346412579334,0.9998920922093543,2.2309952756384176e-05,0.044994267109599154,0.9999015105759523,2.0488101110652502e-05,0.04499350940240565,0.9999110629764295,1.862930230856536e-05,0.044994287647207455,0.9999207933317779,1.6721759856098887e-05,0.0449017309192307,0.9999307543024234,1.4751316989562012e-05,0.044984131184879,0.9999410299528494,1.2697317309931156e-05,0.04499682657169184,0.9999517885305712,1.0514910935294531e-05,0.04499779356237735,0.9999633047200414,8.135350929303594e-06,0.044992134244401044,0.9999760733545864,5.439406019220317e-06,0.04499141467569974,0.9999919601157145,1.9664224848148624e-06,0.044992039187777624
0.133148,-4.99489462483326,4.479450489215703,1.2377259352535197,0.9577631790510318,0.28061200408585935,0.0619330527317625,0.010528646849201585,0.12261973109017037,-0.5049979415155583,0.5568095442659846,4.799117492392351,0.9191540695911878,0.16565430927407226,2.0697134721764843,-8.966313830862166,2.6318858798820375,-0.10827677083767313,0.5557507237387415,6.629325804600272e-05,3.28853398969171,3.288536122383657,3.2885352197492046,3.288530833086484,0.9989653116862214,0.0001733508758847202,0.06483460030287685,0.999708884898832,4.852605368445124e-05,0.056387915576270445,0.9997841040221408,3.590450097265347e-05,0.045192340754520985,0.9997946413161756,3.427787710010047e-05,0.04499693952010563,0.999805178149065,3.2651472786829925e-05,0.04499597742401312,0.999815727814915,3.1021598533285265e-05,0.04499692612294476,0.9998263056658826,2.9383983504623516e-05,0.04490340540539078,0.9998369262312389,2.7733815382509762e-05,0.04498578450179989,0.999847601903935,2.6069286951877167e-05,0.04500078636528819,0.9998584074591164,2.4369535729085524e-05,0.045003686710862655,0.9998694925695355,2.2599639818801434e-05,0.04499429916844672,0.999880712371407,2.0798204545328154e-05,0.044993545115421876,0.9998921068956792,1.895608075027291e-05,0.04499433352923127,0.9999037332047096,1.7060127068310124e-05,0.044902098979584006,0.9999156602122298,1.5094090193649287e-05,0.04498411594896085,0.9999279932756873,1.3036677162229504e-05,0.04499688965324647,0.9999409504663933,1.0838064177901592e-05,0.04499785532141042,0.9999548781254104,8.426594631006166e-06,0.044992151055822965,0.9999703967157887,5.676638797671606e-06,0.0449914262885736,0.9999898633825443,2.0967331702017603e-06,0.04499204357452747
0.15534,-4.991675480926478,4.466090194924548,1.25077130422438,0.9407679121192751,0.3311677112511978,0.0717148992161544,0.011858112670401646,0.16854958016853336,-0.7039730395554198,0.6152147887017463,4.796714678761323,0.9314869587614308,0.16565578041458418,2.290341384589078,-10.126979567893587,1.510377326657504,-30.912127115651828,-30.097977406178035,6.042724736266427,3.315461912934401,3.315469292200043,3.3154686986773285,3.1100086783786276,0.9987912085262196,0.00017410316000178523,0.0649482474148666,0.9996603522106844,4.853268814750747e-05,0.056388307826763406,0.99974819680971,3.5907212430686005e-05,0.04518172403906367,0.9997603202086298,3.4321107545734896e-05,0.044996914162336296,0.9997724429078815,3.273524118364078e-05,0.04499596827280317,0.9997845824112549,3.1145403660218086e-05,0.04499694036821076,0.9997967592292086,2.954643667398771e-05,0.04490390381362505,0.9998089943805508,2.7931850688016155e-05,0.04498573407923242,0.9998213013010109,2.630060292398638e-05,0.04500089516094166,0.9998337800192947,2.4627439821676898e-05,0.045003903590897086,0.9998466145762442,2.287799329132818e-05,0.044994321363049,0.9998596179948142,2.109437659284452e-05,0.04499357104894507,0.9998728401815462,1.9266714133020417e-05,0.044994372621752064,0.9998863527302981,1.7380474411487623e-05,0.04490261309206364,0.9999002432646765,1.5416947553288355e-05,0.04498407844173653,0.9999146385971607,1.335467852650934e-05,0.04499694960966549,0.9999298117648798,1.1138701513523884e-05,0.04499791239329537,0.9999461819518453,8.696173565112247e-06,0.044992158132243686,0.9999645012513593,5.895464429320021e-06,0.044991428770335844,0.9999876467767935,2.2166057508503876e-06,0.04499204279838545
0.177531,-4.987377579115478,4.44802045520979,1.2648380138294701,0.9227322294215908,0.3773323901379123,0.07758821878054994,0.012866691156681629,0.219375472518494,-0.9287049405773968,0.6487321830644599,4.11073115872363,0.26357056433605813,0.29975232995626966,2.3654052970929627,-11.080876499183473,0.5163950732681375,-51.160662963148376,0.6886052028384668,0.01077554514458421,3.1722401567844365,3.3424024406998685,3.342401935939057,3.171873283488709,0.9986161335730199,0.00017507495319977147,0.06509546181941048,0.9996118107381581,4.8541472526328126e-05,0.05638992324053757,0.9997122709802724,3.592582943770116e-05,0.04517262255013353,0.9997259424125186,3.4377796111346307e-05,0.04499688096820132,0.9997396129320558,3.282997582562949e-05,0.04499595083727282,0.9997533046892757,3.1277721979181794e-05,0.0449969503495066,0.9997670443621549,2.9714867053745967e-05,0.04490457383393578,0.9997808614284169,2.8132952133838133e-05,0.04498566109725003,0.9997947693720564,2.6531928954528614e-05,0.04500100567585003,0.9998088985947509,2.4881424543892877e-05,0.045004116734469024,0.9998234646338449,2.3149942399267135e-05,0.0449943334058171,0.9998382360913872,2.138190342704688e-05,0.044993586644244375,0.9998532733752,1.956680634612092e-05,0.04499440508338245,0.9998686640779881,1.7688652309994127e-05,0.04490329680057793,0.9998845173504411,1.5725914235392123e-05,0.044984016923567995,0.999900981196401,1.3657400759631863e-05,0.044997007413757575,0.9999183890305782,1.1422734301663425e-05,0.04499796546862793,0.9999372323228647,8.949628980691524e-06,0.04499215511508639,0.999958400704838,6.100546521326838e-06,0.044991421370786766,0.9999853181975062,2.3285792872402223e-06,0.044992036474466424
0.199723,-4.981928776624677,4.424716376382848,1.2793978327785605,0.9069037030934047,0.4135227471915824,0.0795492826007203,0.014017869353425593,0.27186713852209443,-1.174605154353499,0.6601917150716001,2.975404187026732,0.27885168100564584,0.2999914544384171,2.3206058103387903,-11.166841114702617,-0.5669007018922442,-150.52693044011696,0.27381619690927356,2.824789142560371e-05,2.867777842019543,3.369335571095927,3.369335154267615,2.8677764647629234,0.9984398481871445,0.00017628538587536317,0.06527863739401388,0.9995632584627855,4.855227537271306e-05,0.05639262262851623,0.999676309576728,3.5961403544328206e-05,0.04516468673695895,0.9996914930983479,3.4449314170696764e-05,0.04499683919775772,0.9997066755872223,3.293734483357349e-05,0.04499592409657557,0.999721884204686,3.142048458972932e-05,0.04499695587541139,0.9997371529074877,2.9891454667274515e-05,0.04490543458887785,0.9997525217897505,2.833963866644991e-05,0.04498556390447322,0.9997680032523977,2.676611965876778e-05,0.0450011194108344,0.9997837639380481,2.5134656702781466e-05,0.04500432738571609,0.9998000457450318,2.3418888813074642e-05,0.0449943349224141,0.9998165716871333,2.1664404253866206e-05,0.0449935912404827,0.9998334132336824,1.9860141517722884e-05,0.044994430945116064,0.9998506755158513,1.7988562136868268e-05,0.044904169379665015,0.9998684923616358,1.6024988805359015e-05,0.044983929895846854,0.9998870323405986,1.3948855802418771e-05,0.04499706374696982,0.9999066949700744,1.1694060503703037e-05,0.04499801495704392,0.9999280416973466,9.19062551799965e-06,0.04499214158642856,0.9999521057270365,6.294977801508533e-06,0.044991403320363076,0.9999828838625798,2.434334926343924e-06,0.04499202427933295
