t,p_x,p_y,p_z,q_w,q_x,q_y,q_z,v_x,v_y,v_z,w_x,w_y,w_z,a_lin_x,a_lin_y,a_lin_z,a_rot_x,a_rot_y,a_rot_z,u_1,u_2,u_3,u_4,mu_0,nu_0,tau_0,mu_1,nu_1,tau_1,mu_2,nu_2,tau_2,mu_3,nu_3,tau_3,mu_4,nu_4,tau_4,mu_5,nu_5,tau_5,mu_6,nu_6,tau_6,mu_7,nu_7,tau_7,mu_8,nu_8,tau_8,mu_9,nu_9,tau_9,mu_10,nu_10,tau_10,mu_11,nu_11,tau_11,mu_12,nu_12,tau_12,mu_13,nu_13,tau_13,mu_14,nu_14,tau_14,mu_15,nu_15,tau_15,mu_16,nu_16,tau_16,mu_17,nu_17,tau_17,mu_18,nu_18,tau_18,mu_19,nu_19,tau_19,mu_20,nu_20,tau_20,mu_21,nu_21,tau_21
0,-5.0,2.844475147189207e-22,10.0,1.0,-8.854487540034713e-21,3.106530939499027e-20,3.8995592859025964e-21,-1.2894305671886863e-20,2.851209496212798e-22,-3.590819608219131e-21,-8.046393050128846e-22,-6.308772227690364e-22,-1.358837166556724e-22,0.3347804168365193,-0.035107898835073516,3.7738561580049534,14.381594737164509,136.88525403101843,4.319729839653858,2.7191387919558903,2.5972690777400507,3.1269352165761473,3.1019361014483757,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0
0.0328742,-4.999909524939606,-9.552148848537889e-06,10.002042610363523,0.9993078876197039,0.0039048609025886137,0.036972782793112065,0.0011670324362024044,0.011005641416229194,-0.0011541444063759264,0.12406253634516719,0.4727835521754921,4.499994459862606,0.1420077018824883,2.182581944758398,-0.21865142116818256,4.811984101480405,-1.9662516740412483,1.5847861857952152,-0.29920437605571554,3.1353058066013904,3.1454987572888613,3.145554055321238,3.1455340581437623,0.999603591100816,0.00039640889918390404,0.048005286655920056,0.9999223850580503,7.761494194973447e-05,0.045313004821606225,0.9999399571364277,6.0042863572334775e-05,0.0450193073077503,0.9999588119229182,4.1188077081716816e-05,0.04504675969385309,0.9999765475295039,2.3452470496104572e-05,0.0455846132266031,0.9999777904658687,2.2209534131451915e-05,0.04500500711232662,0.999979034751679,2.0965248320804823e-05,0.044995056923858995,0.9999802797403202,1.972025967962374e-05,0.04496313517311528,0.9999815258703518,1.8474129648086056e-05,0.04496138269586651,0.9999827737627804,1.7226237219767973e-05,0.044994189281438494,0.9999840243364087,1.597566359145627e-05,0.044994188885058246,0.99998527867477,1.4721325230019792e-05,0.04499775562592279,0.9999865386924858,1.3461307514164703e-05,0.045000809853688324,0.9999878122498534,1.218775014629124e-05,0.04499894644235466,0.9999890971747629,1.0902825237247178e-05,0.0449934386746016,0.9999903947050818,9.605294918184048e-06,0.04496203204984819,0.9999917093112793,8.290688720650479e-06,0.044960282678619526,0.9999930480879466,6.9519120533741004e-06,0.04499273750695651,0.9999944229551478,5.5770448520970935e-06,0.04499276333200536,0.9999958556927673,4.144307232791319e-06,0.044995987168626725,0.99999739601756,2.6039824400923412e-06,0.044997917855078846,0.9999992186518278,7.813481721180789e-07,0.044998059012449416
0.0657484,-4.9985641567832415,-0.00014751751021422032,10.008750799324726,0.9937361724221885,0.011115723709112187,0.11114353082473971,0.0034506063975073514,0.08275629658455981,-0.008342136939705678,0.28225270774742756,0.4081445835552769,4.552093052268543,0.13217159466883424,4.3634835644803776,-0.3993581989681866,4.402404214946677,-1.6077791034584532,1.5847150618824462,-0.23427526812702096,3.155016584687264,3.162987197651758,3.164172921394202,3.1641670468948915,0.9992070290186277,0.00039656208218833637,0.04795897195533214,0.99984498088106,7.740417699021856e-05,0.045277832731716414,0.9998790346925635,6.092244386410983e-05,0.045022719690842664,0.9999176940624426,4.1117860475720854e-05,0.04504538584036967,0.9999531135847143,2.3433944789733055e-05,0.045542046986575706,0.9999555461686604,2.2244297208074983e-05,0.045005060632059904,0.9999579819302208,2.1052821458388244e-05,0.044995084108980045,0.9999604192787028,1.986046161756838e-05,0.044963291069619916,0.9999628592854378,1.8666584914177433e-05,0.04496136795920399,0.9999653034571598,1.747030562045936e-05,0.04499423402158643,0.9999677541434164,1.6270192992274012e-05,0.04499424860436951,0.9999702142082274,1.506446654264783e-05,0.04499784458504917,0.9999726887596966,1.3849932789354456e-05,0.045001049650437115,0.9999752000600559,1.2612189798021735e-05,0.04499907644893365,0.9999777404008996,1.1356773863324708e-05,0.04499351438384422,0.9999803119889549,1.0082716126778756e-05,0.044962224847754015,0.9999829254781638,8.783833115607362e-06,0.04496030045825433,0.9999855977008398,7.450387107211384e-06,0.044992804512939126,0.9999883569795922,6.065975555813204e-06,0.04499283397392493,0.9999912547274664,4.600965300838428e-06,0.04499605247447417,0.9999944076632101,2.988354349903548e-06,0.0449979724806427,0.999998222848846,9.95802982074244e-07,0.04499808512496824
0.0986226,-4.993678342317784,-0.0006234445519640496,10.020468088436417,0.9824694012194523,0.01728647362492947,0.18553366382364006,0.005685812464000233,0.22620236756466525,-0.021470721867124665,0.4269782643281727,0.3552901171669072,4.604189306532103,0.12446998052407378,6.494736164409714,-0.54294824079989,3.6548697175321796,0.8812597712383512,1.583456191637283,0.2547615015477137,3.18195229761065,3.1732935877235695,3.18279169919528,3.1827883756463424,0.9988097173801709,0.0003973116384570566,0.047950373293138455,0.9997677016838166,7.727919724341286e-05,0.04525939542050818,0.9998174275190778,6.160717348581421e-05,0.04502568196207656,0.9998766667308184,4.1027331624084454e-05,0.0450443936458447,0.9999297053304156,2.3408254298879592e-05,0.04551924791949702,0.9999332911933027,2.2254975357774453e-05,0.04500508739660527,0.9999368812277197,2.110070250110146e-05,0.04499510875262032,0.9999404736548276,1.994562387511371e-05,0.04496353847086174,0.999944070372484,1.878891295366877e-05,0.044961251949245884,0.999947673861435,1.7629595724741547e-05,0.04499426131460502,0.9999512881982506,1.646594516562439e-05,0.04499429729726351,0.9999549187176004,1.5295490626826782e-05,0.04499791349977007,0.9999585749412022,1.4113818494366876e-05,0.04500123203818792,0.9999622995647565,1.2900495299139702e-05,0.04499917161221973,0.9999660753615845,1.1665039314779196e-05,0.0449935747786979,0.9999699051269281,1.0406862026707875e-05,0.04496249878118431,0.9999738068734235,9.118604740282937e-06,0.04496020820437859,0.9999778087783,7.788922539438776e-06,0.04499284891098186,0.9999819584512426,6.398528349510046e-06,0.04499289080326199,0.9999863423062734,4.912421192953508e-06,0.04499610403855738,0.9999911558647213,3.2517984886266485e-06,0.04499801327468554,0.9999970767332809,1.1461155649481554e-06,0.04499810489470153
0.131497,-4.982917218952912,-0.0016108917210982286,10.036569192836755,0.9653813645780936,0.0231632849388043,0.2596911526855509,0.007927082582944894,0.43971168209967204,-0.039319715850348054,0.5471292155525282,0.38426083513316633,4.656244176432028,0.13284506338939986,8.525595581229457,-0.6698802436236384,2.5839565240876503,-0.43441664735415164,0.03406638458979524,0.0003365125721825927,3.2014073144020565,3.2014060971655054,3.2014084457058307,3.201398221450713,0.9984107012502055,0.0003990161299651416,0.0479706007497181,0.9996904748660883,7.722681772852892e-05,0.04524702964219591,0.9997552678646112,6.215965446620246e-05,0.04502834570799369,0.9998357517967251,4.091493409338381e-05,0.045043523282239144,0.9999063284802843,2.3376850130968525e-05,0.04550307677305685,0.9999110381460377,2.22530472650161e-05,0.04500509550260808,0.9999157504049947,2.1130822724922934e-05,0.04499513101828602,0.9999204657560066,2.0007898821145838e-05,0.04496386050942415,0.9999251872791403,1.8883093343867285e-05,0.044960976966544344,0.9999299184000299,1.7755461405233047e-05,0.04499427395305484,0.9999346649833729,1.6623214877611547e-05,0.04499434088425135,0.9999394356027551,1.5483114845480257e-05,0.04499797719356359,0.9999442454804377,1.4329460764548804e-05,0.04500139548382286,0.9999491634742695,1.3136090487056925e-05,0.044999252923556346,0.9999541581758189,1.1917185765682816e-05,0.0449936283985564,0.9999592329237634,1.0672203164948686e-05,0.04496284341624323,0.9999644142532674,9.392620155907974e-06,0.04495995387055205,0.9999697428619588,8.065916341191567e-06,0.04499287720657784,0.999975287776662,6.6706745806572925e-06,0.044992941437269764,0.9999811749562747,5.167349998685776e-06,0.044996152016341454,0.9999876886370698,3.467227651551056e-06,0.044998048887966546,0.999995807232451,1.2695008299987217e-06,0.0449981218588622
0.164371,-4.964026130978192,-0.0032555069574000217,10.056070108369013,0.9425147235984634,0.029034366076759053,0.33274547301377405,0.01017573998972137,0.7199838936986516,-0.06134149903230207,0.6320747425578358,0.3699797314437741,4.6573640818813535,0.13285612597405308,10.368661758728436,-0.764583202936257,1.1894124174192324,-1.6462985330160236,-1.1729638770577828,0.23581181168500312,3.2200286797244266,3.2200278317456505,3.2200173722793033,3.2120007396548016,0.9980086480138022,0.00040205323640328885,0.04802397240950913,0.9996132065365001,7.726832958791671e-05,0.045238240007794264,0.9996926408134131,6.262705119847178e-05,0.04503079802808353,0.9997949668427325,4.0784953992714315e-05,0.04504271933410869,0.9998829856828049,2.3342797479659997e-05,0.045490422558976305,0.9998887938707254,2.2244275312299392e-05,0.04500508629930551,0.9998945984473974,2.1151957597307654e-05,0.04499514808191396,0.9999004068582867,2.005889771997701e-05,0.044964229828268386,0.9999062239754449,1.896330369510039e-05,0.04496048139525714,0.9999120540318955,1.7864368134273825e-05,0.04499426880129575,0.9999179044279402,1.676055543295646e-05,0.04499437794696871,0.9999237878226109,1.5647780144238687e-05,0.0449980391611575,0.9999297264876774,1.451899276020681e-05,0.045001550227284116,0.9999358204575287,1.3343016740761322e-05,0.04499932517367947,0.9999420190566425,1.2139119176445415e-05,0.04499367443568782,0.9999483268147858,1.0906108977534218e-05,0.04496323290640647,0.9999547801197218,9.634133545793518e-06,0.044959477185297116,0.9999614330747181,8.309787240801183e-06,0.0449928871721745,0.9999683776369868,6.910139675109894e-06,0.04499298483970221,0.999975783481285,5.391474989868009e-06,0.04499619844465261,0.9999840326047309,3.656032338842498e-06,0.0449980813942321,0.9999944296627286,1.3775697223263893e-06,0.04499813669870509
0.197245,-4.934905644649802,-0.0056791415248616806,10.077634797173252,0.9142306468910227,0.03423519859364063,0.40354857916060866,0.012608986691934651,1.060845448149902,-0.0864765670984176,0.6711757350406746,0.3158589692748023,4.618803822153283,0.14060825277298658,11.478426795334611,-0.7328237422888373,-0.629967735998409,-24.099937122870866,-66.54855396299838,4.624514678826873,3.2386479633236918,3.238647119974641,3.0954991154745097,2.9382666406184343,0.997601835078279,0.0004068129355229859,0.0481179754921299,0.9995357734594096,7.74330770906319e-05,0.04523214938050642,0.9996295894894714,6.305132394149154e-05,0.045033111817236855,0.9997543225059056,4.0644336826731836e-05,0.045041973962538395,0.999859675702784,2.3309980020701886e-05,0.04548020462599658,0.9998665601828245,2.223368790107059e-05,0.045005060515577094,0.9998734281946602,2.1170252737164583e-05,0.04499515632092713,0.999880301097201,2.0105761085433257e-05,0.044964613139745334,0.999887186431044,1.903754440097177e-05,0.04495970382653943,0.9998940889989117,1.7965032983804786e-05,0.04499424164023983,0.9999010171245314,1.68873034089551e-05,0.04499440525952724,0.9999079884594633,1.5799363147647406e-05,0.044998100113271995,0.9999150337227091,1.4692764968311864e-05,0.045001700205312224,0.9999222880629177,1.3532394611061137e-05,0.044999389583305446,0.9999296763493257,1.2342707316610786e-05,0.0449937098762139,0.9999372058366564,1.1120978129502771e-05,0.044963634412071365,0.9999449242956513,9.855824070497086e-06,0.04495871712594627,0.9999528998875407,8.533187177225894e-06,0.04499287485950395,0.999961248435999,7.129200987860986e-06,0.04499301786625009,0.9999701873214628,5.59615982204643e-06,0.044996243257722425,0.9999802049368077,3.827667923269317e-06,0.044998111263534035,0.9999929540755982,1.4755871303704655e-06,0.04499814935976784
0.230119,-4.8939254359289865,-0.008930268004715303,10.099477327752835,0.8893187269704358,0.033775044944263505,0.4556652395951267,0.018458834777427734,1.438189650435121,-0.11056756801520214,0.6504660439789723,-0.47640740231976836,2.43107274574749,0.2926355151803645,12.38239878953836,-0.4942002885074004,-1.4717929454047298,-1.464151679147483,-50.471445943808085,0.22213395522147789,3.2572666646973643,3.257266063800211,3.093151696043221,3.0855983633858455,0.9971881706777698,0.0004136644005091778,0.04826168334479446,0.999458022323962,7.775113544768583e-05,0.04522837587028052,0.9995661172413306,6.347224814113393e-05,0.04503535062797172,0.9997138198923412,4.050261356465421e-05,0.045041290855297886,0.9998363927058509,2.328299693309221e-05,0.045471941296894046,0.9998443337566005,2.2226426223811714e-05,0.04500501908220766,0.9998522373072656,2.1190887394736136e-05,0.04499515273447171,0.9998601473582933,2.0153738907838705e-05,0.04496498494228744,0.9998680751982304,1.9111232813801536e-05,0.04495858430060504,0.9998760258688966,1.8063130015045503e-05,0.044994188745142084,0.9998840076996223,1.700942490889978e-05,0.04499441993181377,0.9998920443024731,1.5944156990119582e-05,0.0449981600620684,0.9999001763366985,1.485738601040025e-05,0.04500184742936382,0.9999085770493663,1.3711013551379282e-05,0.04499944641567885,0.9999171414966008,1.2534852724907872e-05,0.044993731933820995,0.9999258820526528,1.1323784003679656e-05,0.04496402259398809,0.9999348596015404,1.00646941108363e-05,0.04495761385909502,0.9999441568311334,8.743056407513366e-06,0.044992836643438526,0.9999539138732068,7.3345627923086755e-06,0.0449930376392136,0.9999643997324907,5.7875889719220676e-06,0.04499628595148715,0.9999762176772532,3.987259554398541e-06,0.04499813853299866,0.9999913876362072,1.5664393909827116e-06,0.04499815964621823
0.262994,-4.8399947417998295,-0.012859115187638976,10.120122224355045,0.8771636422732003,0.02820527906833803,0.4785759178038327,0.027452018343416228,1.8452512170528492,-0.12681401162293993,0.6020820149813321,-0.5245402307328946,0.7718638796345243,0.29993799326626197,13.045463752944388,-0.21288580728274464,-1.630703783846884,0.9715791982802815,-2.798641835450949,-0.21991561407427657,3.275885912845038,3.2758838982537157,3.2631676197834167,3.270647564212916,0.9967652113189135,0.00042295935885671945,0.04846683755719114,0.9993797753300866,7.824699387501908e-05,0.04522671671928262,0.9995021964486176,6.392079271282748e-05,0.04503756160310696,0.9996734525146854,4.036737765564505e-05,0.0450406666787187,0.9998131272855323,2.3265420318786756e-05,0.045465309886621945,0.9998221073070258,2.222644957473681e-05,0.04500496284917972,0.9998310197641782,2.1217543087298443e-05,0.0449951359947739,0.9998399410146146,2.0206343678688928e-05,0.044965341165270394,0.9998488873153177,1.9187882912441323e-05,0.04495705598277099,0.9998578635230879,1.816234580861786e-05,0.04499410731919889,0.999866876845855,1.71308537672829e-05,0.0449944206743881,0.9998759578921493,1.6086410323516777e-05,0.04499821936280608,0.9998851589206673,1.5017416031216806e-05,0.04500199325392814,0.9998946936682326,1.388338113365073e-05,0.044999495833598066,0.9999044215315047,1.2719965096316485e-05,0.044993739415000684,0.9999143631682949,1.1518884357929605e-05,0.044964393490954706,0.9999245945294669,1.0265072073432631e-05,0.04495610063957093,0.9999352131520374,8.943679095894775e-06,0.04499276979631655,0.9999463835178599,7.530355346664927e-06,0.04499304287430245,0.999958430171518,5.96956097306654e-06,0.04499632650543214,0.9999720797415581,4.137935695295709e-06,0.0449981633083589,0.999989735733053,1.651903154004933e-06,0.04499816749308036
0.295868,-4.7723012018824615,-0.01716881914874462,10.139060209915254,0.8714525962327244,0.022873566222627158,0.4886174703531949,0.03605888177254823,2.2741105199057747,-0.1338124641599725,0.5484739178569689,-0.49260033303881356,0.6798607428188145,0.2927084413910302,13.311432576383192,0.06894202456936722,-1.854739784477893,-0.1332895941884913,-0.11138123239790376,-0.0009416812927778979,3.2945043485405074,3.294501620483682,3.294452266391317,3.294487010430445,0.9963301224057317,0.00043508891318150695,0.04874963371530464,0.9993008369842816,7.893834580513249e-05,0.04522707050715615,0.9994377824393007,6.441400931672424e-05,0.0450397788175493,0.9996332119899222,4.0240524763153336e-05,0.04504009326878986,0.9997898687818703,2.3258503661651902e-05,0.045460066864628224,0.9997998717580127,2.223554901312392e-05,0.04500489259420362,0.9998097676741007,2.1252090077384566e-05,0.04499510578586159,0.9998196754805337,2.026553408095476e-05,0.04496569091810764,0.9998296177300359,1.926958528192002e-05,0.04495503602251172,0.9998395986042776,1.8264918810544633e-05,0.04499399493905344,0.9998496228960589,1.7253949795987948e-05,0.044994407124771076,0.9998597292854952,1.6228606654378128e-05,0.04499827858973914,0.9998699834471959,1.517547347170458e-05,0.04500213866020486,0.9998806414181048,1.4052250127969835e-05,0.04499953797102602,0.9998915206694556,1.2900862048923013e-05,0.04499373210149531,0.9999026540317014,1.1709136593287178e-05,0.044964756302886245,0.9999141346935266,1.0459835940351607e-05,0.04495409468900934,0.999926075252599,9.137899438419988e-06,0.044992671945995426,0.9999386642180981,7.719299761886686e-06,0.044993033211341016,0.9999522856103964,6.144561121552329e-06,0.04499636519569093,0.999967798008564,4.281732994051771e-06,0.04499818574946937,0.9999880025750608,1.7331579923090182e-06,0.04499817291742731
